feature_id,feature_name,category,status,priority,team,user_requests,estimated_effort,target_quarter,description
FEAT-029,Formula Autocomplete,Database,In Development,High,Database Team,1123,Medium,Q1 2025,Autocomplete suggestions for formula functions with inline documentation
FEAT-030,Gallery View Customization,Visualization,Beta,Low,Visualization Team,389,Small,Q4 2024,Customize gallery view card layouts with custom property display and sizing options
FEAT-031,Import from Confluence,Import,Planning,Medium,Import Team,512,Medium,Q2 2025,Import tool for migrating content from Confluence with preserved formatting and structure
FEAT-032,Keyboard Shortcuts Panel,UI/UX,Shipped,Low,Design Team,789,Small,Q1 2024,Searchable keyboard shortcuts panel with customization options
FEAT-033,Link Preview Cards,Core,Shipped,Medium,Core Team,1678,Small,Q2 2024,"Rich link preview cards showing metadata, images, and descriptions for external URLs"
FEAT-034,Multi-Select Properties,Database,Shipped,Medium,Database Team,1456,Small,Q2 2024,Multi-select property type for databases allowing multiple values per field
FEAT-035,Nested Databases,Database,Planning,High,Database Team,923,Large,Q2 2025,Support for creating databases within database items for hierarchical data structures
FEAT-036,Page Cover Videos,UI/UX,Beta,Low,Design Team,234,Small,Q4 2024,Support for video files as page cover images with autoplay and loop options
FEAT-037,Quick Capture Widget,Mobile,Planning,Medium,Mobile Team,645,Medium,Q2 2025,Quick capture widget for mobile devices to rapidly add notes and tasks
FEAT-038,Recurring Tasks,Tasks,In Development,High,Tasks Team,2134,Medium,Q1 2025,Recurring task functionality with flexible scheduling options and automatic creation
FEAT-039,Sidebar Customization,UI/UX,Shipped,Medium,Design Team,1567,Medium,Q3 2024,"Customize sidebar layout with collapsible sections, custom ordering, and favorites"
FEAT-040,Table of Contents Auto-Update,Core,In Development,Medium,Core Team,1089,Small,Q1 2025,Automatically update table of contents blocks when page structure changes
